Age_Group,State,Year,Deaths,Population,KFF_opioid_deaths,%_opioid_deaths
0-24,Missouri,2010,1422,2014700,83.0,5.836849507735583
0-24,Missouri,2011,1432,2004165,74.0,5.167597765363128
0-24,Missouri,2012,1388,1997001,49.0,3.5302593659942363
0-24,Missouri,2013,1347,1993189,67.0,4.974016332590943
0-24,Missouri,2014,1303,1986481,76.0,5.832693783576362
0-24,Missouri,2015,1481,1978875,84.0,5.671843349088454
0-24,Missouri,2016,1485,1965554,116.0,7.8114478114478105
0-24,Missouri,2017,1501,1953923,104.0,6.92871419053964
0-24,Missouri,2018,1484,1943215,133.0,8.962264150943396
0-24,Nevada,2009,572,912698,51.0,8.916083916083917
0-24,Nevada,2010,580,913837,46.0,7.931034482758621
0-24,Nevada,2011,595,914421,57.0,9.57983193277311
0-24,Nevada,2012,487,918330,38.0,7.802874743326489
0-24,Nevada,2013,519,916688,34.0,6.551059730250482
0-24,Nevada,2014,533,918190,34.0,6.378986866791744
0-24,Nevada,2015,579,921684,34.0,5.872193436960276
0-24,Nevada,2016,614,927652,39.0,6.351791530944626
0-24,Nevada,2017,582,934490,39.0,6.701030927835052
0-24,Nevada,2018,578,937786,16.0,2.768166089965398
0-24,New Hampshire,2009,163,192196,15.0,9.202453987730062
0-24,New Hampshire,2011,169,274054,17.0,10.059171597633137
0-24,New Hampshire,2012,163,325862,14.0,8.588957055214724
0-24,New Hampshire,2013,190,244462,17.0,8.947368421052632
0-24,New Hampshire,2014,171,271511,31.0,18.128654970760234
0-24,New Hampshire,2015,155,192200,41.0,26.451612903225808
0-24,New Hampshire,2016,201,266457,55.0,27.363184079601986
0-24,New Hampshire,2017,177,188314,40.0,22.598870056497177
0-24,New Hampshire,2018,181,314947,31.0,17.12707182320442
0-24,New Jersey,2010,1338,2832442,58.0,4.334828101644246
0-24,New Jersey,2011,1448,2816586,72.0,4.972375690607735
0-24,New Jersey,2012,1358,2811595,80.0,5.89101620029455
0-24,New Jersey,2013,1296,2814038,95.0,7.330246913580248
0-24,New Jersey,2014,1321,2809247,91.0,6.888720666161999
0-24,New Jersey,2015,1341,2791566,105.0,7.829977628635347
0-24,New Jersey,2016,1325,2771495,157.0,11.849056603773585
0-24,New Jersey,2017,1271,2766236,193.0,15.184893784421716
0-24,New Jersey,2018,1222,2719649,197.0,16.121112929623568
0-24,New Mexico,2009,556,717880,35.0,6.294964028776978
0-24,New Mexico,2010,518,578903,29.0,5.598455598455598
0-24,New Mexico,2011,517,726427,32.0,6.189555125725339
0-24,New Mexico,2012,543,721667,30.0,5.524861878453039
0-24,New Mexico,2013,471,718075,34.0,7.218683651804671
0-24,New Mexico,2014,532,710384,31.0,5.827067669172932
0-24,New Mexico,2015,512,701758,32.0,6.25
0-24,New Mexico,2016,521,691025,38.0,7.293666026871401
0-24,New Mexico,2017,486,687236,26.0,5.349794238683128
0-24,New Mexico,2018,482,679608,35.0,7.261410788381744
0-24,New York,2009,3261,6311028,117.0,3.5878564857405704
0-24,New York,2010,3178,6308446,127.0,3.996224040276904
0-24,New York,2011,3144,6271625,173.0,5.502544529262086
0-24,New York,2012,3054,6260800,174.0,5.697445972495088
0-24,New York,2013,2979,6222522,208.0,6.982208794897617
0-24,New York,2014,2856,6204288,200.0,7.002801120448179
0-24,New York,2015,2848,6153230,245.0,8.60252808988764
0-24,New York,2016,2897,6085610,319.0,11.011391094235416
0-24,New York,2017,2713,6027039,270.0,9.952082565425728
0-24,New York,2018,2561,5868268,221.0,8.629441624365482
0-24,North Carolina,2009,2386,3203123,113.0,4.735959765297569
0-24,North Carolina,2010,2081,3220253,79.0,3.7962518020182605
0-24,North Carolina,2011,2133,3241355,92.0,4.313173933427098
0-24,North Carolina,2012,2125,3258690,92.0,4.329411764705882
0-24,North Carolina,2013,2054,3270990,74.0,3.6027263875365136
0-24,North Carolina,2014,2113,3275437,93.0,4.401325130146711
0-24,North Carolina,2015,2179,3278665,109.0,5.002294630564479
0-24,North Carolina,2016,2297,3264954,151.0,6.5737919024814975
0-24,North Carolina,2017,2282,3274862,215.0,9.421560035056968
0-24,North Carolina,2018,2166,3284479,167.0,7.710064635272391
0-24,Ohio,2009,2485,3846079,55.0,2.2132796780684103
0-24,Ohio,2010,2529,3830242,113.0,4.4681692368525106
0-24,Ohio,2011,2511,3796192,111.0,4.4205495818399045
0-24,Ohio,2012,2457,3772348,125.0,5.087505087505088
0-24,Ohio,2013,2429,3758632,130.0,5.351996706463566
0-24,Ohio,2014,2306,3738014,194.0,8.412836079791846
0-24,Ohio,2015,2543,3713809,241.0,9.476995674400314
0-24,Ohio,2016,2682,3687657,320.0,11.931394481730052
0-24,Ohio,2017,2789,3678803,336.0,12.047328791681606
0-24,Ohio,2018,2507,3661523,232.0,9.254088552054249
0-24,Oklahoma,2009,1140,1302560,59.0,5.175438596491229
0-24,Oklahoma,2010,1047,1310852,47.0,4.48901623686724
0-24,Oklahoma,2011,1063,1324245,54.0,5.079962370649106
0-24,Oklahoma,2012,1067,1328867,48.0,4.498594189315839
0-24,Oklahoma,2013,1033,1339963,48.0,4.646660212971927
0-24,Oklahoma,2014,1090,1345002,34.0,3.1192660550458715
0-24,Oklahoma,2015,1049,1351058,26.0,2.478551000953289
0-24,Oklahoma,2016,1045,1344709,31.0,2.9665071770334928
0-24,Oklahoma,2017,1024,1339161,25.0,2.44140625
0-24,Oklahoma,2018,920,1336166,25.0,2.717391304347826
0-24,Oregon,2009,617,1225805,29.0,4.700162074554295
0-24,Oregon,2010,589,1225231,32.0,5.432937181663837
0-24,Oregon,2011,623,1228310,38.0,6.099518459069021
0-24,Oregon,2012,631,1225628,34.0,5.388272583201268
0-24,Oregon,2013,606,1225033,22.0,3.6303630363036308
0-24,Oregon,2014,644,1222901,32.0,4.968944099378882
0-24,Oregon,2015,616,1226640,23.0,3.7337662337662336
0-24,Oregon,2016,661,1234305,38.0,5.748865355521937
0-24,Oregon,2017,701,1236701,40.0,5.706134094151213
0-24,Oregon,2018,577,1238611,20.0,3.466204506065858
0-24,Pennsylvania,2009,2603,4057342,92.0,3.534383403764887
0-24,Pennsylvania,2010,2668,4053536,102.0,3.823088455772114
0-24,Pennsylvania,2011,2568,4027549,106.0,4.127725856697819
0-24,Pennsylvania,2012,2660,4003154,105.0,3.9473684210526314
0-24,Pennsylvania,2013,2465,3960209,112.0,4.543610547667343
0-24,Pennsylvania,2014,2336,3927302,169.0,7.23458904109589
0-24,Pennsylvania,2015,2439,3894807,168.0,6.888068880688807
0-24,Pennsylvania,2016,2601,3862403,245.0,9.419454056132256
0-24,Pennsylvania,2017,2615,3840894,272.0,10.401529636711281
0-24,Pennsylvania,2018,2337,3809193,218.0,9.328198545143346
0-24,Rhode Island,2009,164,238767,14.0,8.536585365853659
0-24,Rhode Island,2012,141,230604,10.0,7.092198581560284
0-24,Rhode Island,2013,137,167787,13.0,9.48905109489051
0-24,Rhode Island,2014,126,228265,11.0,8.73015873015873
0-24,Rhode Island,2015,157,208620,23.0,14.64968152866242
0-24,Rhode Island,2016,135,163208,22.0,16.296296296296298
0-24,Rhode Island,2017,137,162249,16.0,11.678832116788321
0-24,Rhode Island,2018,122,158599,17.0,13.934426229508196
0-24,South Carolina,2009,1181,1551983,25.0,2.1168501270110074
0-24,South Carolina,2010,1123,1556919,27.0,2.404274265360641
0-24,South Carolina,2011,1121,1561307,30.0,2.6761819803746656
0-24,South Carolina,2012,1100,1564501,28.0,2.5454545454545454
0-24,South Carolina,2013,1044,1567854,12.0,1.1494252873563218
0-24,South Carolina,2014,1104,1566724,40.0,3.6231884057971016
0-24,South Carolina,2015,1173,1568712,33.0,2.813299232736573
0-24,South Carolina,2016,1184,1566157,58.0,4.898648648648648
0-24,South Carolina,2017,1152,1572462,64.0,5.555555555555555
0-24,South Carolina,2018,1218,1574168,77.0,6.321839080459771
0-24,Tennessee,2009,1661,2096239,56.0,3.3714629741119806
0-24,Tennessee,2010,1599,2102365,62.0,3.877423389618512
0-24,Tennessee,2011,1466,2106049,48.0,3.2742155525238745
0-24,Tennessee,2012,1533,2118244,51.0,3.326810176125244
0-24,Tennessee,2013,1435,2121507,53.0,3.6933797909407664
0-24,Tennessee,2014,1497,2126182,49.0,3.2732130928523713
0-24,Tennessee,2015,1506,2124179,71.0,4.714475431606906
0-24,Tennessee,2016,1629,2119662,88.0,5.402087170042972
0-24,Tennessee,2017,1672,2120175,105.0,6.279904306220095
0-24,Tennessee,2018,1593,2120010,97.0,6.089139987445072
0-24,Texas,2009,6190,9341467,161.0,2.600969305331179
0-24,Texas,2010,5898,9438793,186.0,3.1536113936927768
0-24,Texas,2011,5709,9591036,217.0,3.8010159397442638
0-24,Texas,2012,5803,9668663,169.0,2.9122867482336723
0-24,Texas,2013,5765,9755749,149.0,2.5845620121422375
0-24,Texas,2014,5871,9863296,143.0,2.4357009027422927
0-24,Texas,2015,5960,9983424,169.0,2.835570469798658
0-24,Texas,2016,6143,10062309,198.0,3.2231808562591566
0-24,Texas,2017,6089,10134466,175.0,2.874035145344063
0-24,Texas,2018,5771,10194178,149.0,2.581874891699879
0-24,Utah,2009,674,1177227,45.0,6.6765578635014835
0-24,Utah,2010,649,1189056,59.0,9.090909090909092
0-24,Utah,2011,707,1207495,59.0,8.345120226308344
